,cement,blast_furnance_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,compressive_strength,log_age
0,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,42.42345828,1.9459101490553132
1,330.5,169.6,0.0,194.9,8.1,811.0,802.3,56.619079643999996,3.332204510175204
2,400.0,0.0,0.0,187.0,0.0,1025.0,745.0,43.69898888,3.332204510175204
3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,55.89581932,1.9459101490553132
4,350.0,0.0,0.0,203.0,0.0,974.0,775.0,31.35047372,4.499809670330265
5,446.0,24.0,79.0,162.0,11.64,967.0,712.0,23.34565736,1.0986122886681098
6,276.0,116.0,90.0,180.0,9.0,870.0,768.0,44.27814872,3.332204510175204
7,362.6,189.0,0.0,164.9,11.6,944.7,755.8,35.3011712,1.0986122886681098
8,136.0,162.0,126.0,172.0,10.0,923.0,764.0,29.06830816,3.332204510175204
9,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,18.12632404,1.9459101490553132
10,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,11.483912255999998,1.9459101490553132
11,246.83,0.0,125.08,143.3,11.99,1086.8,800.89,60.32225524,4.02535169073515
12,302.0,0.0,0.0,203.0,0.0,974.0,817.0,26.74477404,5.19295685089021
13,387.0,20.0,94.0,157.0,13.93,938.0,845.0,47.96684532,4.02535169073515
14,151.0,0.0,184.0,167.0,12.0,991.0,772.0,15.568368079999999,3.332204510175204
15,314.0,145.3,113.2,178.9,8.0,869.1,690.2,46.234192132,3.332204510175204
16,300.0,0.0,120.0,212.0,10.0,878.0,728.0,23.83518532,3.332204510175204
17,170.3,155.5,0.0,185.7,0.0,1026.6,724.3,10.730314988,1.9459101490553132
18,234.0,156.0,0.0,189.0,5.85,981.0,760.0,39.300132,3.332204510175204
19,425.0,106.3,0.0,153.5,16.5,852.1,887.1,65.19685056,4.51085950651685
20,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,36.93522932,2.6390573296152584
21,181.38,0.0,167.01,169.59,7.56,1055.6,777.8,27.77209328,3.332204510175204
22,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,15.049192651999999,1.0986122886681098
23,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,67.11359384,5.598421958998375
24,222.36,0.0,96.67,189.29,4.46,967.08,870.32,24.44881896,2.6390573296152584
25,424.0,22.0,132.0,168.0,8.92,822.0,750.0,72.09850532,3.332204510175204
26,295.71,0.0,95.64,171.54,8.87,955.14,859.2,22.94576128,1.0986122886681098
27,273.0,105.0,82.0,210.0,9.0,904.0,680.0,37.16965116,3.332204510175204
28,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,61.887365759999994,3.332204510175204
29,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,15.87173752,1.0986122886681098
30,155.0,183.0,0.0,193.0,9.0,1047.0,697.0,18.28490352,3.332204510175204
31,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,7.3153403599999995,1.0986122886681098
32,250.0,0.0,0.0,182.0,0.0,1100.0,820.0,12.73462172,1.9459101490553132
33,284.0,15.0,141.0,179.0,5.46,842.0,801.0,43.733462679999995,3.332204510175204
34,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,40.85834776,4.787491742782046
35,275.07,0.0,121.35,159.48,9.9,1053.6,777.5,51.331488199999995,3.332204510175204
36,218.85,0.0,124.13,158.49,11.33,1078.7,794.91,46.2293658,4.605170185988092
37,290.35,0.0,96.18,168.08,9.41,961.18,865.0,34.67374804,2.6390573296152584
38,277.19,97.82,24.46,160.7,11.19,1061.7,782.46,63.14221208,3.332204510175204
39,200.0,200.0,0.0,190.0,0.0,1145.0,660.0,49.249270679999995,3.332204510175204
40,362.6,189.0,0.0,164.9,11.6,944.7,755.8,35.3011712,1.0986122886681098
41,380.0,0.0,0.0,228.0,0.0,932.0,670.0,53.300631656,5.598421958998375
42,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,44.698039603999995,5.886104031450156
43,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,24.90387312,3.332204510175204
44,387.0,20.0,94.0,157.0,13.93,938.0,845.0,25.510612,1.0986122886681098
45,323.7,282.8,0.0,183.8,10.3,942.7,659.9,80.19984832,4.02535169073515
46,266.2,112.3,87.5,177.9,10.4,909.7,744.5,39.421479776,3.332204510175204
47,214.9,53.8,121.89,155.63,9.61,1014.3,780.58,18.01600788,1.0986122886681098
48,401.8,94.7,0.0,147.4,11.4,946.8,852.1,73.69808963999999,4.02535169073515
49,446.0,24.0,79.0,162.0,11.64,967.0,712.0,51.021224,3.332204510175204
